name,latitude,longitude,population
Muonio,67.956815,23.67901,2367
Mustasaari,63.119705,21.70406,19295
Muurame,62.13533,25.669128,9746
Mynämäki,60.678033,21.991107,7888
Myrskylä,60.669951,25.854529,1977
Mäntsälä,60.62147,25.305248,20653
Mänttä-Vilppula,62.03001,24.62209,10664
Mäntyharju,61.41808,26.869615,6213
Naantali,60.46513,22.033525,18916
Nakkila,61.36619,22.011645,5651
Nastola,60.936788,25.947157,14858
Nivala,63.929419,24.961603,10911
Nokia,61.480752,23.504198,33005
Nousiainen,60.59747,22.085055,4852
Nurmes,63.553481,29.11571,8039
Nurmijärvi,60.463125,24.806005,41737
Närpiö,62.477885,21.33744,9388
Orimattila,60.801865,25.733415,16307
Oripää,60.85864,22.692045,1397
Orivesi,61.68487,24.358665,9494
Oulainen,64.259667,24.812921,7668
Oulu,65.0103,25.473505,197408
Outokumpu,62.73283,29.042715,7156
Padasjoki,61.34781,25.235023,3170
Paimio,60.443621,22.708334,10624
Paltamo,64.407416,27.838446,3526
Parainen,60.305691,22.29858,15476
Parikkala,61.55702,29.501105,5304
Parkano,62.010322,23.0171,6787
Pedersören kunta,63.595305,22.80812,11095
Pelkosenniemi,67.110002,27.516146,953
Pello,66.77385,23.96518,3650
Perho,63.213983,24.420002,2912
Pertunmaa,61.509962,26.484513,1825
Petäjävesi,62.265472,25.174509,4045
Pieksämäki,62.3037,27.174275,18926
Pielavesi,63.232952,26.753837,4764
Pietarsaari,63.676392,22.710959,19507
Pihtipudas,63.371128,25.5853,4241
Pirkkala,61.465795,23.644545,18801
Polvijärvi,62.857241,29.367568,4583
Pomarkku,61.693107,22.007664,2258
Pori,61.48596,21.79537,85391
Pornainen,60.47661,25.374226,5137
Porvoo,60.396315,25.67008,49828
Posio,66.110892,28.166155,3555
Pudasjärvi,65.370215,26.991629,8328
Pukkila,60.640601,25.591799,1992
Punkalaidun,61.111575,23.107605,3083
Puolanka,64.872728,27.649692,2800
Puumala,61.525505,28.182515,2283
Pyhtää,60.492014,26.544139,5338
Pyhäjoki,64.47197,24.26695,3251
Pyhäjärvi,63.689744,25.976689,5534
Pyhäntä,64.095275,26.335255,1575
Pyhäranta,60.949436,21.445088,2136
Pälkäne,61.33605,24.270205,6699
Pöytyä,60.7615,22.639326,8591
Raahe,64.686915,24.478425,25274
Raasepori,59.974495,23.43588,28540
Raisio,60.486745,22.16776,24331
Rantasalmi,62.069351,28.301371,3774
Ranua,65.926348,26.532502,4057
Rauma,61.131158,21.51052,39890
Rautalampi,62.62407,26.82811,3339
Rautavaara,63.495035,28.29572,1752
Rautjärvi,61.29778,29.085722,3582
Reisjärvi,63.60517,24.93969,2898
Riihimäki,60.739375,24.77402,29310
Ristijärvi,64.504467,28.214936,1384
Rovaniemi,66.503566,25.72803,61695
Ruokolahti,61.291877,28.839552,5358
Ruovesi,61.984715,24.06743,4656
Rusko,60.541445,22.221875,6078
Rääkkylä,62.310827,29.621337,2392
Saarijärvi,62.708545,25.254251,10000
Salla,66.832804,28.669221,3754
Salo,60.385868,23.123019,54064
Saltvik,60.273251,20.061131,1827
Sastamala,61.336878,22.919194,25296
Sauvo,60.343468,22.69416,3009
Savitaipale,61.19241,27.68872,3640
Savonlinna,61.86839,28.86763,35734
Savukoski,67.292067,28.159309,1082
Seinäjoki,62.790695,22.83961,61205
Sievi,63.90279,24.52265,5139
