SDP,VAS,KOK,KES,RKP,KRD,VIH,PER,MUU
22.4,8.3,22.3,22.2,4.1,4.4,9.6,5,1.7
21.4,8.7,22.5,21.6,4.6,4.3,9.7,5.5,1.7
20.4,8.3,22,22,4.4,4.8,10.1,5.9,2.1
21.8,8.9,22.4,22.1,4.6,4.1,9.7,3.8,2.6
21.7,8.7,22,22.1,4.4,3.8,10.2,4.5,2.6
20.6,8.4,23.4,21.2,4.3,4.8,9.7,5.2,2.4
21.6,7.8,23.5,21.6,4.4,3.7,9.7,6.3,1.4
20.2,8.2,24.2,20.7,4.1,3.8,10.1,7.1,1.6
20,7.6,25.1,19.2,4.4,4,10,8.3,1.4
19.9,7.5,25.2,19.6,4.3,3.9,10.2,8.1,1.3
19.6,8,24.4,20.3,4.2,3.7,10.3,7.8,1.7
20.9,8.1,23.3,19.2,4,3.9,10.1,8.9,1.6
21.4,7.4,23.3,19,3.5,3.9,10.9,9.2,1.4
21.6,8.1,23.1,18.6,4.2,4.1,10.6,8.2,1.5
20.9,7.5,23.4,19.8,3.4,3.8,10.8,8.6,1.8
19.4,7.3,22.5,19.5,4.2,4.5,11.8,9.1,1.7
19.3,7.9,22.2,19.7,4.3,4.8,12.1,8.1,1.6
20.5,7.6,23.1,19.4,3.8,4,11,8.8,1.8
20.3,8,22.4,20.4,4,4.3,11,7.8,1.8
20.9,7.8,23.1,19.9,4,4.4,11.2,7.3,1.4
20.3,8.5,23.1,20.1,4.1,4.2,10.6,7.7,1.4
20.9,8.1,23.2,20.7,4.4,4.3,10.4,6.2,1.8
21,8.1,23.2,20.7,4.1,4.6,10.1,6.4,1.8
21.2,8.3,23.6,19.6,4.1,4.3,10.4,6.3,2.2
21.2,8,22.9,20.7,4,4.3,10.4,6.8,1.7
21.3,7.6,22.7,20.6,3.6,4.8,10.3,7.8,1.3
21.3,7.7,23,18.6,3.7,4.2,10.3,9.6,1.6
21.1,8.1,21.9,19.2,3.9,4.2,10.6,9.8,1.2
20.5,7.8,23,19.7,4,4.3,9.5,10.1,1.1
20.4,7.5,22.8,19.7,4.4,3.9,9.2,10.7,1.4
19.8,7.2,21.9,19,3.9,4.4,9.9,12.5,1.4
19.1,7.8,21.7,17.6,4.2,4.6,9.7,14.3,1
18.4,7.9,21.1,18.6,4,4.5,9.1,14.9,1.5
18.1,8.1,21.2,18.8,3.4,3.8,9.5,15.3,1.8
18.9,7.2,20.4,18.5,4.1,3.8,9.2,16.6,1.3
17.5,7.3,20.9,18.9,3.9,4.2,8.5,16.9,1.9
18.1,7.3,20.1,18.1,3.8,4.6,9,17.2,1.8
18,8.2,21.2,18.6,4.2,4.2,9,15.4,1.2
18.8,7.7,21.5,14.3,4.3,3.8,7.6,20.6,1.4
18.1,8,21.2,13.8,4.1,3.1,7.2,23,1.5
19.8,7.6,21.4,13.2,3.9,3.4,7.4,22,1.3
18.6,8,23.7,12.6,3.8,3.6,7.4,21.2,1.3
17.5,7.1,24.1,12.7,4.2,3.2,8.3,21.7,1.2
17.1,7.4,24.4,13.1,4.1,3.7,7.7,21.4,1.1
17.6,7,24.3,13.9,4.1,3.9,7.9,19.9,1.4
16.4,8.5,22.7,16.2,3.9,3.6,7.6,19.9,1.2
16.3,9,23.1,15.6,3.8,4.1,9.6,17.4,1.1
16,7.9,22.1,17.7,4.1,3.5,11.4,16.1,1.3
17.3,8.1,22.6,16.7,3.5,3.7,11,15.8,1.3
19.1,8.9,22.6,16.4,3.7,3.2,10.4,14.1,1.6
20.5,7.7,21.7,16.7,3.7,3.6,8.8,15.9,1.4
20.8,7.5,21.6,16.5,3.9,3.7,9.2,15.6,1.2
20.3,8,20.8,15.5,4.4,3.7,8.5,17.5,1.3
18.7,8.2,22.7,16.6,4.3,3.2,9.4,15.8,1.1
19.9,7.8,21.5,15.9,4.3,3.2,8.9,17.2,1.3
18.5,8.5,20.9,17.3,3.9,4,9.1,15.3,2.5
18.8,7.9,21.1,18,4.1,3.6,9.1,16,1.4
17.9,7.9,21,17.8,4.3,3.4,8.7,18,1
18.7,7.9,21.9,17.1,3.9,3.1,8.9,17.7,0.8
18.2,8.2,20.8,17.2,4.3,3.2,8.7,18.1,1.3
18,8.5,19.8,18.3,4.1,3.1,9,18.4,0.8
16.2,9,19.2,19.4,4.2,3.2,9.1,18.6,1.1
16.5,8,19.2,21.7,4.1,3.8,8,17.4,1.3
16.1,7.5,18.4,21.5,4,3.5,9.3,18.6,1.1
15.6,7.2,18.8,22.8,4.4,3.6,8.4,18,1.2
15,7.7,18.3,23.8,3.8,2.8,8.4,19.3,0.9
15.3,7.2,18.4,22.6,3.9,3.3,9.3,18.8,1.2
16.9,7.6,18.1,23.2,3.9,3.5,8.4,17.4,1
15.4,7.4,18.3,24.1,4.1,3.2,9,17.2,1.3
15.9,7,19.1,23.9,3.8,3.1,8,17.4,1.6
15.5,7.5,18.7,23.6,3.8,3.7,8.1,17.8,1.3
15.5,7.7,19.4,22.8,4.2,3.4,9,16.9,1.1
15.5,7.7,20.3,20.9,4.3,3.5,8.7,17.8,1.3
15.8,8.8,20.2,21,4.1,3.7,8.2,17.6,0.6
15,8.5,20.1,19.5,4.4,3.2,9.3,18.9,1.1
14.8,9.3,20.3,19.5,4.2,3.8,9,17.9,1.2
13.8,9.3,21.8,20.9,3.9,3.4,8.8,16.4,1.7
15.8,8.2,21.2,21.3,3.7,3.4,8.1,17.1,1.2
15.2,8.3,20.4,23.3,4.6,3,7.8,16.6,0.8
15.2,7.9,19.4,25.5,3.6,2.7,9.1,15.1,1.5
16.1,8.9,17.3,26.7,4,3.3,8.3,14.3,1.1
15.3,8.9,17.1,26.8,3.7,3.9,9.4,13.3,1.7
17.2,8.2,16.3,26,4.2,3.5,8.3,14.8,1.5
16.8,8.8,16.2,24.9,4,3.3,8.8,15.4,1.8
16.2,8.5,16.1,24.9,4.5,3.9,8.9,14.6,2.4
15.1,8.3,16.9,24,4.6,3.5,8.8,16.7,2
15,7.5,16.7,23.1,4.5,3.1,10.5,17.5,2.1
14.6,8.4,17.3,22.7,4.5,3.4,11.5,15.6,2
14.5,7.8,18.2,23.1,3.9,2.7,12.7,15.6,1.5
14.4,7.6,18.9,23,4.2,2.9,12.4,15,1.6
18.3,8.3,18,21.7,4.8,4,12.7,10.7,1.5
20.7,7.4,18.3,21.7,4.4,3.4,12.2,9.8,2.1
21,8.1,18.3,21.6,4.6,3.5,12.6,8.9,1.4
22.7,7.3,18.7,21.4,3.9,3.4,11.7,8.9,2
21.5,8.6,17.3,20.9,4.1,3.4,12.3,9.8,2.1
22.9,8.9,16.9,20.7,4.5,3.9,10.7,9,2.5
20.3,8.3,17.1,21.7,4.7,3.6,12.5,9.5,2.3
